売上ID,日付,担当者,店舗,チャネル,来店経路,大項目,機種カテゴリ,機種,メニュー,仕入先,IMEI,売上金額,原価,粗利,値引き,最終売上,備考,登録日時
20251201-001,2025-12-01,龍田,福井店,店舗,通りがかり,iPhone修理,iPhone,XR,バッテリー,アイサポ,,5891,2440,3451,0,5891,,2025/12/01 15:50:16
20251201-001,2025-12-01,龍田,福井店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/01 15:50:16
20251201-002,2025-12-01,龍田,福井店,店舗,ネット検索,iPhone修理,iPhone,11,バッテリー,アイサポ,,6345,2490,3855,100,6245,,2025/12/01 15:53:53
20251201-003,2025-12-01,龍田,福井店,店舗,ネット検索,中古販売,中古,12,128GB 良品,アイサポ,353920960061945,35436,15200,20236,0,35436,,2025/12/01 15:57:03
20251201-003,2025-12-01,龍田,福井店,店舗,ネット検索,iPhone修理,iPhone,XR,バッテリー,アイサポ,,5891,2440,3451,0,5891,,2025/12/01 15:57:03
20251201-003,2025-12-01,龍田,福井店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/01 15:57:03
20251201-003,2025-12-01,龍田,福井店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/01 15:57:03
20251201-003,2025-12-01,龍田,福井店,店舗,ネット検索,iPhone修理,iPhone,12,手入力,HW,,3000,800,2200,0,3000,,2025/12/01 15:57:03
20251201-004,2025-12-01,龍田,福井店,店舗,ネット検索,iPhone修理,iPhone,13,TH-L,HW,,16709,2850,13859,0,16709,,2025/12/01 15:57:30
20251201-005,2025-12-01,龍田,福井店,店舗,ネット検索,操作案内,操作案内,,個別30分,アイサポ,,3000,0,3000,0,3000,,2025/12/01 15:58:30
20251201-006,2025-12-01,土本,鯖江店,店舗,通りがかり,iPhone修理,iPhone,11,HGバッテリー,アイサポ,,9345,3790,5555,0,9345,,2025/12/01 16:23:08
20251201-007,2025-12-01,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,XS,TH-L,アイサポ,,11255,4190,7065,0,11255,,2025/12/01 16:23:52
20251201-008-01,2025-12-01,土本,鯖江店,店舗,ネット検索,中古販売,中古,11,64GB 並品,アイサポ,356566104570783,19982,7200,12782,0,19982,,2025/12/01 17:57:59
20251201-008-02,2025-12-01,土本,鯖江店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/01 17:57:59
20251201-009-01,2025-12-01,土本,ECサイト,Shopify,ネット検索,中古販売,中古,SE2,64GB 並品,アイサポ,358397344821077,12709,6000,6709,0,12709,,2025/12/01 18:02:31
20251201-009-02,2025-12-01,土本,ECサイト,Shopify,ネット検索,アクセサリ,アクセサリ,,手入力,アイサポ,,1800,150,1650,0,1800,,2025/12/01 18:02:31
20251201-010-01,2025-12-01,龍田,福井店,店舗,紹介,iPhone修理,iPhone,14,作業費,アイサポ,,4528,0,4528,0,4528,,2025/12/01 19:47:02
20251202-001-01,2025-12-02,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,12ProMax,バッテリー,アイサポ,,8164,3190,4974,0,8164,,2025/12/02 11:42:43
20251202-001-02,2025-12-02,土本,鯖江店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/02 11:42:43
20251202-002-01,2025-12-02,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,13mini,HGバッテリー,アイサポ,,11618,4740,6878,100,11518,,2025/12/02 11:43:43
20251202-002-02,2025-12-02,土本,鯖江店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルムP,アイサポ,,2000,300,1700,0,2000,,2025/12/02 11:43:43
20251202-003-01,2025-12-02,龍田,福井店,店舗,リピーター,中古販売,中古,13mini,128GB 並品,アイサポ,352971448961439,44527,25700,18827,0,44527,,2025/12/02 13:50:13
20251202-003-02,2025-12-02,龍田,福井店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/02 13:50:13
20251202-003-03,2025-12-02,龍田,福井店,店舗,リピーター,アクセサリ,アクセサリ,,カメラ保護,アイサポ,,500,0,500,0,500,,2025/12/02 13:50:13
20251202-004-01,2025-12-02,龍田,福井店,店舗,リピーター,データ移行,データ移行,,データ移行α,アイサポ,,5000,0,5000,0,5000,,2025/12/02 14:07:38
20251202-005-01,2025-12-02,龍田,福井店,店舗,リピーター,操作案内,操作案内,,個別10分,アイサポ,,1000,0,1000,0,1000,,2025/12/02 14:07:52
20251202-006-01,2025-12-02,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,13,バッテリー,アイサポ,,8618,3390,5228,0,8618,,2025/12/02 16:48:17
20251202-007-01,2025-12-02,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,SE3,バッテリー,アイサポ,,5891,2290,3601,0,5891,,2025/12/02 16:55:19
20251202-007-02,2025-12-02,土本,鯖江店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/02 16:55:19
20251202-008-01,2025-12-02,龍田,福井店,店舗,リピーター,中古販売,中古,SE3,64GB リペア品,アイサポ,359968971366278,24527,14500,10027,0,24527,,2025/12/02 18:19:17
20251203-001-01,2025-12-03,堀,福井店,店舗,リピーター,iPhone修理,iPhone,11,バッテリー,アイサポ,,6345,2490,3855,350,5995,,2025/12/03 11:19:03
20251203-002-01,2025-12-03,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,SE2,TH-F,アイサポ,,4982,3040,1942,100,4882,,2025/12/03 12:34:59
20251203-002-02,2025-12-03,土本,鯖江店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/03 12:34:59
20251203-003-01,2025-12-03,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,13,カメラ窓,アイサポ,,9073,480,8593,0,9073,,2025/12/03 12:35:23
20251203-004-01,2025-12-03,土本,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/03 12:38:23
20251203-005-01,2025-12-03,堀,鯖江店,店舗,ネット検索,中古販売,中古,SE3,64GB 良品,アイサポ,352348972916230,32709,26400,6309,0,32709,,2025/12/03 15:00:11
20251203-005-02,2025-12-03,堀,鯖江店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/03 15:00:11
20251203-006-01,2025-12-03,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,SE2,水没未修理,アイサポ,,1000,0,1000,0,1000,,2025/12/03 15:15:59
20251203-007-01,2025-12-03,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,12,未修理,アイサポ,,3000,0,3000,0,3000,,2025/12/03 15:17:18
20251203-008-01,2025-12-03,土本,鯖江店,店舗,ネット検索,iPad修理,iPad,Pad6,バッテリー,アイサポ,,13165,2290,10875,0,13165,,2025/12/03 16:19:53
20251203-009-01,2025-12-03,堀,福井店,店舗,通りがかり,iPhone修理,iPhone,11ProMax,バッテリー,アイサポ,,6800,2790,4010,0,6800,,2025/12/03 18:29:43
20251203-010-01,2025-12-03,堀,福井店,店舗,リピーター,iPhone修理,iPhone,SE2,TH-F,アイサポ,,4982,3040,1942,0,4982,,2025/12/03 18:32:02
20251203-010-02,2025-12-03,堀,福井店,店舗,リピーター,iPhone修理,iPhone,SE2,バッテリー,アイサポ,,5436,2090,3346,1100,4336,,2025/12/03 18:32:02
20251203-011-01,2025-12-03,堀,福井店,店舗,リピーター,アクセサリ,アクセサリ,,フィルムP,アイサポ,,2000,300,1700,0,2000,,2025/12/03 18:33:35
20251203-011-02,2025-12-03,堀,福井店,店舗,リピーター,アクセサリ,アクセサリ,,カメラ保護,アイサポ,,500,20,500,0,500,,2025/12/03 18:33:35
20251204-001-01,2025-12-04,その他,ECサイト,Shopify,ネット検索,中古販売,中古,SE3,64GB リペア品,アイサポ,355124564719747,27255,11600,15655,0,27255,,2025/12/04 10:27:50
20251204-002-01,2025-12-04,龍田,鯖江店,店舗,紹介,iPhone修理,iPhone,SE2,HG-L,アイサポ,,11709,4040,7669,0,11709,,2025/12/04 16:25:29
20251204-002-02,2025-12-04,龍田,鯖江店,店舗,紹介,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/04 16:25:29
20251204-003-01,2025-12-04,龍田,鯖江店,店舗,紹介,中古販売,中古,SE3,64GB 美品,アイサポ,359968979246407,28163,20300,7863,0,28163,,2025/12/04 16:27:02
20251204-003-02,2025-12-04,龍田,鯖江店,店舗,紹介,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/04 16:27:02
20251204-004-01,2025-12-04,堀,福井店,店舗,リピーター,アクセサリ,アクセサリ,,ケース,アイサポ,,1000,100,900,0,1000,,2025/12/04 17:00:22
20251204-004-02,2025-12-04,堀,福井店,店舗,リピーター,アクセサリ,アクセサリ,,手入力,アイサポ,,2710,600,2110,0,2710,,2025/12/04 17:00:22
20251204-005-01,2025-12-04,堀,福井店,店舗,ネット検索,iPad修理,iPad,Pad7,TH-F,アイサポ,,11801,3990,7811,0,11801,,2025/12/04 17:01:54
20251204-005-02,2025-12-04,堀,福井店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,2000,150,1850,0,2000,,2025/12/04 17:01:54
20251204-006-01,2025-12-04,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,11,バッテリー,アイサポ,,6345,2490,3855,100,6245,,2025/12/04 17:03:27
20251204-006-02,2025-12-04,堀,福井店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/04 17:03:27
20251204-007-01,2025-12-04,堀,福井店,店舗,リピーター,iPhone修理,iPhone,13ProMax,バッテリー,アイサポ,,9527,3740,5787,628,8899,,2025/12/04 17:07:03
20251204-007-02,2025-12-04,堀,福井店,店舗,リピーター,iPhone修理,iPhone,SE3,バッテリー,アイサポ,,5891,2290,3601,430,5461,,2025/12/04 17:07:03
20251204-007-03,2025-12-04,堀,福井店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/04 17:07:03
20251204-008-01,2025-12-04,龍田,鯖江店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/04 18:26:43
20251204-008-02,2025-12-04,龍田,鯖江店,店舗,リピーター,アクセサリ,アクセサリ,,手入力,アイサポ,,2980,600,2380,0,2980,,2025/12/04 18:26:43
20251203-012-01,2025-12-03,土本,ECサイト,メルカリ,ネット検索,中古販売,中古,SE3,64GB リペア品,アイサポ,352348979453252,22709,11600,11109,0,22709,,2025/12/05 16:01:13
20251205-001-01,2025-12-05,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,13Pro,HGバッテリー,アイサポ,,12073,4990,7083,100,11973,,2025/12/05 16:36:26
20251205-002-01,2025-12-05,堀,福井店,店舗,紹介,iPad修理,iPad,Pro11-1,手入力,アイサポ,,36345,16700,19645,0,36345,,2025/12/05 16:41:04
20251205-003-01,2025-12-05,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,13mini,HGバッテリー,アイサポ,,11618,4740,6878,100,11518,,2025/12/05 16:41:52
20251205-004-01,2025-12-05,堀,福井店,店舗,リピーター,iPhone修理,iPhone,11,HGバッテリー,HW,,9345,850,8495,513,8832,,2025/12/05 16:42:36
20251205-005-01,2025-12-05,堀,福井店,店舗,リピーター,iPhone修理,iPhone,14,手入力,HW,,36346,5500,30846,1944,34402,,2025/12/05 16:44:40
20251205-006-01,2025-12-05,土本,鯖江店,店舗,ネット検索,中古販売,中古,12,64GB 良品,アイサポ,353051112879263,27254,14500,12754,0,27254,,2025/12/05 17:06:16
20251205-006-02,2025-12-05,土本,鯖江店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/05 17:06:16
20251205-007-01,2025-12-05,堀,福井店,店舗,通りがかり,iPhone修理,iPhone,SE2,TH-F,アイサポ,,4982,3040,1942,0,4982,,2025/12/05 18:31:20
20251205-007-02,2025-12-05,堀,福井店,店舗,通りがかり,iPhone修理,iPhone,SE2,バッテリー,アイサポ,,5436,2090,3346,1100,4336,,2025/12/05 18:31:20
20251205-008-01,2025-12-05,堀,福井店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/05 18:31:43
20251206-001-01,2025-12-06,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,13mini,バッテリー,アイサポ,,8618,3340,5278,100,8518,,2025/12/06 17:02:49
20251206-002-01,2025-12-06,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,14Plus,TH-L,アイサポ,,20345,9180,11165,0,20345,,2025/12/06 17:29:41
20251206-003-01,2025-12-06,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,SE3,HG-L,アイサポ,,10952,4040,6912,576,10376,,2025/12/06 17:33:35
20251206-003-02,2025-12-06,土本,鯖江店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/06 17:33:35
20251206-003-03,2025-12-06,土本,鯖江店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/06 17:33:35
20251206-004-01,2025-12-06,堀,福井店,店舗,通りがかり,iPhone修理,iPhone,13,作業費,アイサポ,,4528,0,4528,0,4528,,2025/12/06 18:39:23
20251206-004-02,2025-12-06,堀,福井店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/06 18:39:23
20251206-005-01,2025-12-06,堀,福井店,店舗,通りがかり,iPhone修理,iPhone,7,バッテリー,HW,,4982,550,4432,0,4982,,2025/12/06 18:39:58
20251206-006-01,2025-12-06,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,12Pro,HGバッテリー,アイサポ,,10709,4340,6369,0,10709,,2025/12/06 18:40:32
20251206-007-01,2025-12-06,堀,福井店,店舗,リピーター,操作案内,操作案内,,個別10分,アイサポ,,1000,0,1000,0,1000,,2025/12/06 18:40:52
20251206-008-01,2025-12-06,堀,福井店,店舗,リピーター,iPad修理,iPad,Air2,バッテリー,アイサポ,,13619,2390,11229,0,13619,,2025/12/06 18:42:15
20251206-008-02,2025-12-06,堀,福井店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,2000,150,1850,0,2000,,2025/12/06 18:42:15
20251206-008-03,2025-12-06,堀,福井店,店舗,リピーター,アクセサリ,アクセサリ,,ケース,アイサポ,,2000,600,1900,0,2000,,2025/12/06 18:42:15
20251206-009-01,2025-12-06,堀,福井店,店舗,リピーター,iPhone修理,iPhone,8,作業費,アイサポ,,4528,0,4528,0,4528,,2025/12/06 18:43:15
20251206-010-01,2025-12-06,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,SE3,HG-L,アイサポ,,11528,4040,7488,0,11528,,2025/12/06 18:45:00
20251206-010-02,2025-12-06,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,SE3,バッテリー,アイサポ,,5891,2290,3601,1210,4681,,2025/12/06 18:45:00
20251206-011-01,2025-12-06,堀,福井店,店舗,リピーター,iPhone修理,iPhone,13,バッテリー,HW,,3000,900,2300,0,3000,,2025/12/06 18:46:00
20251206-012-01,2025-12-06,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,13mini,HGバッテリー,アイサポ,,11618,4740,6878,100,11518,,2025/12/06 18:48:39
20251206-012-02,2025-12-06,堀,福井店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/06 18:48:39
20251207-001-01,2025-12-07,土本,ECサイト,Shopify,ネット検索,中古販売,中古,11,64GB 良品,アイサポ,356575102910891,25436,9600,15836,0,25436,,2025/12/07 10:23:35
20251207-002-01,2025-12-07,土本,ECサイト,Shopify,ネット検索,中古販売,中古,11,64GB 並品,アイサポ,352928110811532,21800,9600,12200,0,21800,,2025/12/07 10:24:42
20251207-003-01,2025-12-07,土本,鯖江店,店舗,リピーター,iPhone修理,iPhone,XR,HG-L,アイサポ,,16709,5690,11019,835,15874,,2025/12/07 14:20:44
20251207-003-02,2025-12-07,土本,鯖江店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/07 14:20:44
20251207-004-01,2025-12-07,土本,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/07 14:21:09
20251207-005-01,2025-12-07,土本,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/07 14:21:22
20251207-006-01,2025-12-07,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,SE3,バッテリー,アイサポ,,5891,2290,3601,0,5891,,2025/12/07 14:21:54
20251207-007-01,2025-12-07,土本,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/07 16:44:59
20251207-008-01,2025-12-07,土本,鯖江店,店舗,リピーター,iPhone修理,iPhone,13mini,HGバッテリー,HW,,5000,850,4150,0,5000,,2025/12/07 17:31:41
20251207-009-01,2025-12-07,土本,鯖江店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/07 17:32:33
20251207-010-01,2025-12-07,堀,福井店,店舗,リピーター,iPhone修理,iPhone,8,バッテリー,アイサポ,,5255,2110,3145,291,4964,,2025/12/07 18:23:40
20251207-011-01,2025-12-07,堀,福井店,店舗,リピーター,iPhone修理,iPhone,12Pro,バッテリー,アイサポ,,7709,2990,4719,529,7180,,2025/12/07 18:24:08
20251207-012-01,2025-12-07,堀,福井店,店舗,リピーター,iPhone修理,iPhone,12Pro,コーティング,アイサポ,,2000,300,1700,0,2000,,2025/12/07 18:24:31
20251207-013-01,2025-12-07,堀,福井店,店舗,リピーター,iPhone修理,iPhone,SE2,HGバッテリー,HW,,5000,650,4350,0,5000,,2025/12/07 18:25:05
20251207-014-01,2025-12-07,堀,福井店,店舗,リピーター,iPhone修理,iPhone,SE2,手入力,アイサポ,,1650,650,1000,0,1650,,2025/12/07 18:26:32
20251207-015-01,2025-12-07,堀,福井店,店舗,通りがかり,iPhone修理,iPhone,16Pro,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/07 18:26:56
20251207-016-01,2025-12-07,堀,福井店,店舗,リピーター,iPhone修理,iPhone,11,TH-L,HW,,13073,1900,11173,721,12352,,2025/12/07 18:28:08
20251207-016-02,2025-12-07,堀,福井店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/07 18:28:08
20251207-017-01,2025-12-07,堀,福井店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/07 18:28:28
20251207-018-01,2025-12-07,堀,福井店,店舗,リピーター,iPhone修理,iPhone,11,TH-L,アイサポ,,13073,5280,7793,825,12248,,2025/12/07 18:29:00
20251207-019-01,2025-12-07,堀,福井店,店舗,ネット検索,中古販売,中古,12,128GB 並品,アイサポ,353048113535613,27255,16600,10655,0,27255,,2025/12/07 18:31:36
20251207-019-02,2025-12-07,堀,福井店,店舗,ネット検索,アクセサリ,アクセサリ,12,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/07 18:31:36
20251207-019-03,2025-12-07,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,12,ケース,アイサポ,,1000,100,900,0,1000,,2025/12/07 18:31:36
20251207-020-01,2025-12-07,堀,福井店,店舗,リピーター,iPhone修理,iPhone,XSMax,HG-L,HW,,21255,4500,16755,1170,20085,,2025/12/07 18:32:53
20251207-020-02,2025-12-07,堀,福井店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/07 18:32:53
20251208-001-01,2025-12-08,その他,ECサイト,Shopify,ネット検索,中古販売,中古,11ProMax,512GB 美品,アイサポ,353918103461154,59073,49000,10073,0,59073,,2025/12/08 13:12:14
20251208-002-01,2025-12-08,龍田,鯖江店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/08 16:43:28
20251208-003-01,2025-12-08,龍田,鯖江店,店舗,リピーター,iPhone修理,iPhone,11Pro,バッテリー,アイサポ,,6800,2790,4010,0,6800,,2025/12/08 16:43:55
20251208-004-01,2025-12-08,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,SE3,作業費,アイサポ,,4528,0,4528,0,4528,,2025/12/08 17:43:12
20251208-005-01,2025-12-08,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,13ProMax,バッテリー,アイサポ,,9527,3740,5787,100,9427,,2025/12/08 17:46:38
20251208-005-02,2025-12-08,堀,福井店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルムP,アイサポ,,2000,300,1700,0,2000,,2025/12/08 17:46:38
20251208-005-03,2025-12-08,堀,福井店,店舗,ネット検索,アクセサリ,アクセサリ,,カメラ保護,アイサポ,,500,20,500,0,500,,2025/12/08 17:46:38
20251208-005-04,2025-12-08,堀,福井店,店舗,ネット検索,アクセサリ,アクセサリ,,カメラ保護,アイサポ,,0,0,500,0,500,,2025/12/08 17:46:38
20251209-001-01,2025-12-09,龍田,ECサイト,メルカリ,その他,中古販売,中古,12mini,64GB リペア品,アイサポ,353013117458949,14527,8800,5727,0,14527,,2025/12/09 10:26:28
20251209-002-01,2025-12-09,龍田,ECサイト,メルカリ,その他,中古販売,中古,7,128GB リペア品,アイサポ,353837085006789,5981,1000,4981,0,5981,,2025/12/09 10:27:41
20251209-003-01,2025-12-09,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,SE2,バッテリー,アイサポ,,5436,2090,3346,0,5436,,2025/12/09 13:00:40
20251209-003-02,2025-12-09,土本,鯖江店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/09 13:00:40
20251209-004-01,2025-12-09,堀,福井店,店舗,リピーター,中古販売,中古,15Pro,256GB 並品,アイサポ,355361723766777,99073,68500,30573,0,99073,,2025/12/09 16:23:38
20251209-005-01,2025-12-09,龍田,福井店,店舗,通りがかり,iPhone修理,iPhone,15,TH-F,アイサポ,,18164,11640,6524,0,18164,,2025/12/09 17:19:56
20251209-006-01,2025-12-09,龍田,福井店,店舗,通りがかり,iPhone修理,iPhone,14,TH-L,HW,,18982,3000,15982,0,18982,,2025/12/09 17:20:22
20251209-007-01,2025-12-09,龍田,福井店,店舗,通りがかり,iPhone修理,iPhone,11,HGバッテリー,アイサポ,,9345,3790,5555,0,9345,,2025/12/09 17:20:48
20251209-007-02,2025-12-09,龍田,福井店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/09 17:20:48
20251209-008-01,2025-12-09,龍田,福井店,店舗,リピーター,中古販売,中古,12,128GB 美品,アイサポ,359035295877354,38164,26600,11564,0,38164,,2025/12/09 17:21:34
20251209-009-01,2025-12-09,土本,鯖江店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/09 17:31:28
20251209-010-01,2025-12-09,土本,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/09 19:12:38
20251210-001-01,2025-12-10,堀,福井店,店舗,ネット検索,中古販売,中古,13,128GB 美品,アイサポ,351519632268508,57255,44100,13155,0,57255,,2025/12/10 13:50:47
